"year_week","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-05","M","45-64","PIURA","PIURA",2
"2020-04-05","M","45-64","UCAYALI","CORONEL PORTILLO",2
"2020-04-05","M","65+","ANCASH","HUARMEY",2
"2020-04-05","M","65+","ANCASH","SANTA",1
"2020-04-05","M","65+","APURIMAC","ANTABAMBA",1
"2020-04-05","M","65+","AREQUIPA","AREQUIPA",2
"2020-04-05","M","65+","AREQUIPA","CAYLLOMA",1
"2020-04-05","M","65+","AREQUIPA","CONDESUYOS",1
"2020-04-05","M","65+","CAJAMARCA","CAJAMARCA",1
"2020-04-05","M","65+","CALLAO","CALLAO",5
"2020-04-05","M","65+","CUSCO","ANTA",1
"2020-04-05","M","65+","HUANCAVELICA","HUAYTARA",1
"2020-04-05","M","65+","HUANUCO","AMBO",1
"2020-04-05","M","65+","HUANUCO","HUANUCO",1
"2020-04-05","M","65+","ICA","CHINCHA",1
"2020-04-05","M","65+","ICA","ICA",3
"2020-04-05","M","65+","JUNIN","CHUPACA",2
"2020-04-05","M","65+","JUNIN","HUANCAYO",2
"2020-04-05","M","65+","LA LIBERTAD","OTUZCO",1
"2020-04-05","M","65+","LA LIBERTAD","TRUJILLO",2
"2020-04-05","M","65+","LAMBAYEQUE","CHICLAYO",6
"2020-04-05","M","65+","LAMBAYEQUE","FERREÑAFE",5
"2020-04-05","M","65+","LIMA","HUAURA",1
"2020-04-05","M","65+","LIMA","LIMA",7
"2020-04-05","M","65+","LORETO","MAYNAS",4
"2020-04-05","M","65+","PASCO","PASCO",1
"2020-04-05","M","65+","PIURA","PIURA",2
"2020-04-05","M","65+","PIURA","SULLANA",1
"2020-04-05","M","65+","TUMBES","CONTRALMIRANTE VILLAR",1
"2020-04-05","M","65+","TUMBES","TUMBES",4
"2020-04-05","M","65+","UCAYALI","CORONEL PORTILLO",2
"2020-04-12","F","0-17","AREQUIPA","AREQUIPA",1
"2020-04-12","F","0-17","JUNIN","CHANCHAMAYO",1
"2020-04-12","F","0-17","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-12","F","0-17","LIMA","LIMA",2
"2020-04-12","F","0-17","TUMBES","ZARUMILLA",1
"2020-04-12","F","18-44","ICA","ICA",1
"2020-04-12","F","18-44","JUNIN","HUANCAYO",1
"2020-04-12","F","18-44","LAMBAYEQUE","CHICLAYO",1
"2020-04-12","F","18-44","LAMBAYEQUE","FERREÑAFE",1
"2020-04-12","F","18-44","LIMA","LIMA",3
"2020-04-12","F","18-44","LORETO","ALTO AMAZONAS",1
"2020-04-12","F","18-44","PIURA","SULLANA",1
"2020-04-12","F","18-44","UCAYALI","CORONEL PORTILLO",1
"2020-04-12","F","18-44","UCAYALI","PADRE ABAD",1
"2020-04-12","F","45-64","ANCASH","SANTA",2
"2020-04-12","F","45-64","AREQUIPA","AREQUIPA",1
"2020-04-12","F","45-64","CALLAO","CALLAO",5
"2020-04-12","F","45-64","ICA","PISCO",1
"2020-04-12","F","45-64","JUNIN","HUANCAYO",1
"2020-04-12","F","45-64","LAMBAYEQUE","CHICLAYO",5
"2020-04-12","F","45-64","LAMBAYEQUE","FERREÑAFE",4
"2020-04-12","F","45-64","LAMBAYEQUE","LAMBAYEQUE",1
"2020-04-12","F","45-64","LIMA","LIMA",7
"2020-04-12","F","45-64","LORETO","MAYNAS",2
"2020-04-12","F","45-64","PIURA","MORROPON",1
"2020-04-12","F","45-64","PIURA","PIURA",2
"2020-04-12","F","45-64","UCAYALI","CORONEL PORTILLO",1
"2020-04-12","F","65+","ANCASH","CARHUAZ",1
"2020-04-12","F","65+","ANCASH","HUARAZ",1
"2020-04-12","F","65+","ANCASH","SANTA",4
"2020-04-12","F","65+","AREQUIPA","AREQUIPA",1
"2020-04-12","F","65+","CAJAMARCA","CHOTA",1
"2020-04-12","F","65+","CALLAO","CALLAO",6
"2020-04-12","F","65+","ICA","CHINCHA",2
"2020-04-12","F","65+","ICA","ICA",3
"2020-04-12","F","65+","ICA","PALPA",1
"2020-04-12","F","65+","JUNIN","HUANCAYO",1
"2020-04-12","F","65+","LA LIBERTAD","CHEPEN",1
"2020-04-12","F","65+","LA LIBERTAD","TRUJILLO",4
"2020-04-12","F","65+","LAMBAYEQUE","CHICLAYO",5
"2020-04-12","F","65+","LAMBAYEQUE","FERREÑAFE",3
"2020-04-12","F","65+","LIMA","CAÑETE",1
"2020-04-12","F","65+","LIMA","HUAROCHIRI",1
"2020-04-12","F","65+","LIMA","LIMA",7
