"year","week","sexo","agrp","dpt_cdc","n"
2020,15,"M","65+","LA LIBERTAD",4
2020,15,"M","65+","LAMBAYEQUE",29
2020,15,"M","65+","LIMA",141
2020,15,"M","65+","LORETO",7
2020,15,"M","65+","PASCO",1
2020,15,"M","65+","PIURA",10
2020,15,"M","65+","PUNO",1
2020,15,"M","65+","TUMBES",4
2020,15,"M","65+","UCAYALI",2
2020,16,"F","0-17","AREQUIPA",1
2020,16,"F","0-17","LAMBAYEQUE",1
2020,16,"F","0-17","LIMA",2
2020,16,"F","0-17","TUMBES",1
2020,16,"F","18-44","AREQUIPA",1
2020,16,"F","18-44","CALLAO",2
2020,16,"F","18-44","LAMBAYEQUE",4
2020,16,"F","18-44","LIMA",11
2020,16,"F","18-44","LORETO",3
2020,16,"F","18-44","PIURA",3
2020,16,"F","18-44","SAN MARTIN",1
2020,16,"F","18-44","UCAYALI",2
2020,16,"F","45-64","ANCASH",3
2020,16,"F","45-64","AREQUIPA",1
2020,16,"F","45-64","CALLAO",10
2020,16,"F","45-64","ICA",2
2020,16,"F","45-64","JUNIN",1
2020,16,"F","45-64","LAMBAYEQUE",22
2020,16,"F","45-64","LIMA",55
2020,16,"F","45-64","LORETO",4
2020,16,"F","45-64","PIURA",7
2020,16,"F","45-64","SAN MARTIN",1
2020,16,"F","45-64","UCAYALI",1
2020,16,"F","65+","ANCASH",11
2020,16,"F","65+","AREQUIPA",2
2020,16,"F","65+","AYACUCHO",1
2020,16,"F","65+","CAJAMARCA",1
2020,16,"F","65+","CALLAO",12
2020,16,"F","65+","ICA",4
2020,16,"F","65+","JUNIN",2
2020,16,"F","65+","LA LIBERTAD",5
2020,16,"F","65+","LAMBAYEQUE",36
2020,16,"F","65+","LIMA",113
2020,16,"F","65+","LORETO",9
2020,16,"F","65+","PASCO",1
2020,16,"F","65+","PIURA",16
2020,16,"F","65+","TUMBES",1
2020,16,"F","65+","UCAYALI",8
2020,16,"M","0-17","PIURA",2
2020,16,"M","18-44","ANCASH",2
2020,16,"M","18-44","AREQUIPA",2
2020,16,"M","18-44","AYACUCHO",1
2020,16,"M","18-44","CALLAO",4
2020,16,"M","18-44","ICA",1
2020,16,"M","18-44","LA LIBERTAD",2
2020,16,"M","18-44","LAMBAYEQUE",5
2020,16,"M","18-44","LIMA",51
2020,16,"M","18-44","LORETO",4
2020,16,"M","18-44","PIURA",6
2020,16,"M","18-44","UCAYALI",1
2020,16,"M","45-64","ANCASH",9
2020,16,"M","45-64","AREQUIPA",2
2020,16,"M","45-64","CAJAMARCA",2
2020,16,"M","45-64","CALLAO",23
2020,16,"M","45-64","ICA",8
2020,16,"M","45-64","JUNIN",2
2020,16,"M","45-64","LA LIBERTAD",4
2020,16,"M","45-64","LAMBAYEQUE",25
2020,16,"M","45-64","LIMA",171
2020,16,"M","45-64","LORETO",11
2020,16,"M","45-64","PIURA",26
2020,16,"M","45-64","SAN MARTIN",1
2020,16,"M","45-64","TUMBES",4
2020,16,"M","45-64","UCAYALI",11
2020,16,"M","65+","ANCASH",8
2020,16,"M","65+","APURIMAC",1
2020,16,"M","65+","AREQUIPA",1
