"fecha_fallecimiento","sexo","agrp","dpt_cdc","n"
"2020-04-06","F","65+","LA LIBERTAD",1
"2020-04-06","F","65+","LAMBAYEQUE",1
"2020-04-06","F","65+","LIMA",4
"2020-04-06","F","65+","UCAYALI",1
"2020-04-06","M","0-17","LIMA",1
"2020-04-06","M","18-44","CALLAO",1
"2020-04-06","M","18-44","LIMA",1
"2020-04-06","M","45-64","CALLAO",2
"2020-04-06","M","45-64","LAMBAYEQUE",2
"2020-04-06","M","45-64","LIMA",11
"2020-04-06","M","45-64","PIURA",2
"2020-04-06","M","65+","APURIMAC",1
"2020-04-06","M","65+","AREQUIPA",1
"2020-04-06","M","65+","CALLAO",2
"2020-04-06","M","65+","ICA",1
"2020-04-06","M","65+","LA LIBERTAD",2
"2020-04-06","M","65+","LAMBAYEQUE",4
"2020-04-06","M","65+","LIMA",11
"2020-04-06","M","65+","LORETO",1
"2020-04-06","M","65+","TUMBES",1
"2020-04-07","F","0-17","UCAYALI",1
"2020-04-07","F","45-64","AREQUIPA",1
"2020-04-07","F","45-64","LIMA",1
"2020-04-07","F","65+","CALLAO",1
"2020-04-07","F","65+","LAMBAYEQUE",2
"2020-04-07","F","65+","LIMA",7
"2020-04-07","M","18-44","ANCASH",1
"2020-04-07","M","18-44","LIMA",2
"2020-04-07","M","45-64","ANCASH",2
"2020-04-07","M","45-64","CALLAO",1
"2020-04-07","M","45-64","LAMBAYEQUE",1
"2020-04-07","M","45-64","LIMA",10
"2020-04-07","M","45-64","PIURA",2
"2020-04-07","M","65+","AREQUIPA",1
"2020-04-07","M","65+","LAMBAYEQUE",2
"2020-04-07","M","65+","LIMA",11
"2020-04-07","M","65+","LORETO",1
"2020-04-08","F","18-44","LIMA",2
"2020-04-08","F","45-64","LIMA",6
"2020-04-08","F","65+","AREQUIPA",1
"2020-04-08","F","65+","ICA",1
"2020-04-08","F","65+","JUNIN",1
"2020-04-08","F","65+","LA LIBERTAD",1
"2020-04-08","F","65+","LAMBAYEQUE",1
"2020-04-08","F","65+","LIMA",11
"2020-04-08","F","65+","UCAYALI",1
"2020-04-08","M","18-44","LAMBAYEQUE",1
"2020-04-08","M","18-44","LIMA",4
"2020-04-08","M","45-64","ANCASH",1
"2020-04-08","M","45-64","AYACUCHO",1
"2020-04-08","M","45-64","CALLAO",4
"2020-04-08","M","45-64","LA LIBERTAD",1
"2020-04-08","M","45-64","LAMBAYEQUE",5
"2020-04-08","M","45-64","LIMA",15
"2020-04-08","M","65+","ANCASH",1
"2020-04-08","M","65+","CAJAMARCA",1
"2020-04-08","M","65+","JUNIN",3
"2020-04-08","M","65+","LAMBAYEQUE",1
"2020-04-08","M","65+","LIMA",22
"2020-04-08","M","65+","LORETO",2
"2020-04-08","M","65+","PASCO",1
"2020-04-08","M","65+","PIURA",2
"2020-04-08","M","65+","TUMBES",2
"2020-04-09","F","0-17","ICA",1
"2020-04-09","F","0-17","LIMA",1
"2020-04-09","F","18-44","LAMBAYEQUE",1
"2020-04-09","F","18-44","LIMA",2
"2020-04-09","F","18-44","LORETO",1
"2020-04-09","F","45-64","LIMA",3
"2020-04-09","F","45-64","PIURA",1
"2020-04-09","F","45-64","PUNO",1
"2020-04-09","F","65+","CALLAO",1
"2020-04-09","F","65+","ICA",1
"2020-04-09","F","65+","LA LIBERTAD",1
"2020-04-09","F","65+","LAMBAYEQUE",2
"2020-04-09","F","65+","LIMA",12
"2020-04-09","F","65+","LORETO",1
"2020-04-09","M","0-17","PIURA",1
"2020-04-09","M","18-44","LAMBAYEQUE",1
"2020-04-09","M","18-44","LIMA",1
"2020-04-09","M","45-64","CALLAO",4
"2020-04-09","M","45-64","LAMBAYEQUE",1
"2020-04-09","M","45-64","LIMA",17
"2020-04-09","M","65+","ANCASH",1
"2020-04-09","M","65+","CALLAO",1
"2020-04-09","M","65+","HUANCAVELICA",1
"2020-04-09","M","65+","ICA",2
"2020-04-09","M","65+","JUNIN",2
"2020-04-09","M","65+","LAMBAYEQUE",4
"2020-04-09","M","65+","LIMA",11
"2020-04-09","M","65+","TUMBES",1
"2020-04-09","M","65+","UCAYALI",1
"2020-04-10","F","0-17","PIURA",1
"2020-04-10","F","0-17","UCAYALI",1
"2020-04-10","F","18-44","LAMBAYEQUE",1
"2020-04-10","F","18-44","UCAYALI",1
"2020-04-10","F","45-64","CALLAO",1
"2020-04-10","F","45-64","LAMBAYEQUE",3
"2020-04-10","F","45-64","LIMA",2
"2020-04-10","F","45-64","LORETO",1
"2020-04-10","F","45-64","PIURA",1
"2020-04-10","F","65+","AREQUIPA",1
"2020-04-10","F","65+","CALLAO",1
"2020-04-10","F","65+","LAMBAYEQUE",1
"2020-04-10","F","65+","LIMA",12
"2020-04-10","F","65+","LORETO",1
"2020-04-10","F","65+","PIURA",1
"2020-04-10","M","0-17","LIMA",1
"2020-04-10","M","18-44","LAMBAYEQUE",2
"2020-04-10","M","18-44","LIMA",4
"2020-04-10","M","18-44","LORETO",1
"2020-04-10","M","18-44","PIURA",2
"2020-04-10","M","45-64","CALLAO",3
"2020-04-10","M","45-64","ICA",1
"2020-04-10","M","45-64","JUNIN",1
"2020-04-10","M","45-64","LAMBAYEQUE",3
"2020-04-10","M","45-64","LIMA",8
"2020-04-10","M","45-64","LORETO",1
"2020-04-10","M","45-64","UCAYALI",1
"2020-04-10","M","65+","ANCASH",1
"2020-04-10","M","65+","CALLAO",5
"2020-04-10","M","65+","HUANUCO",1
"2020-04-10","M","65+","LAMBAYEQUE",5
"2020-04-10","M","65+","LIMA",25
"2020-04-10","M","65+","LORETO",1
"2020-04-10","M","65+","PIURA",3
"2020-04-10","M","65+","TUMBES",1
"2020-04-11","F","18-44","LIMA",1
"2020-04-11","F","18-44","TUMBES",1
"2020-04-11","F","45-64","CAJAMARCA",1
"2020-04-11","F","45-64","LAMBAYEQUE",1
"2020-04-11","F","45-64","LIMA",2
"2020-04-11","F","65+","ANCASH",1
"2020-04-11","F","65+","CAJAMARCA",1
"2020-04-11","F","65+","CALLAO",1
"2020-04-11","F","65+","ICA",1
"2020-04-11","F","65+","LIMA",14
"2020-04-11","M","0-17","PIURA",1
"2020-04-11","M","18-44","LIMA",4
"2020-04-11","M","18-44","LORETO",1
"2020-04-11","M","18-44","PIURA",1
"2020-04-11","M","45-64","CALLAO",3
"2020-04-11","M","45-64","LAMBAYEQUE",2
"2020-04-11","M","45-64","LIMA",14
"2020-04-11","M","45-64","LORETO",1
"2020-04-11","M","45-64","UCAYALI",1
"2020-04-11","M","65+","AREQUIPA",1
"2020-04-11","M","65+","CALLAO",6
"2020-04-11","M","65+","CUSCO",1
"2020-04-11","M","65+","LA LIBERTAD",1
"2020-04-11","M","65+","LAMBAYEQUE",6
"2020-04-11","M","65+","LIMA",17
"2020-04-11","M","65+","UCAYALI",1
"2020-04-12","F","0-17","JUNIN",1
"2020-04-12","F","18-44","LAMBAYEQUE",1
"2020-04-12","F","45-64","CALLAO",1
"2020-04-12","F","45-64","ICA",1
"2020-04-12","F","45-64","LAMBAYEQUE",2
"2020-04-12","F","45-64","LIMA",9
"2020-04-12","F","65+","ANCASH",1
"2020-04-12","F","65+","CALLAO",2
"2020-04-12","F","65+","ICA",2
"2020-04-12","F","65+","JUNIN",1
"2020-04-12","F","65+","LA LIBERTAD",2
"2020-04-12","F","65+","LIMA",11
"2020-04-12","F","65+","LORETO",1
"2020-04-12","F","65+","PIURA",1
"2020-04-12","M","18-44","CALLAO",1
"2020-04-12","M","18-44","LAMBAYEQUE",1
"2020-04-12","M","18-44","LIMA",8
"2020-04-12","M","18-44","PIURA",1
"2020-04-12","M","45-64","ANCASH",1
"2020-04-12","M","45-64","CALLAO",2
"2020-04-12","M","45-64","LAMBAYEQUE",3
"2020-04-12","M","45-64","LIMA",16
"2020-04-12","M","45-64","PIURA",1
"2020-04-12","M","45-64","TUMBES",1
"2020-04-12","M","65+","ANCASH",1
